Treatment,Name,TrackingRegion,ObjectID,ObsMinutes,TotalDistance,TotalDistancePerMin,PercSleeping,PercWalking,PercMicro,PercResting,AvgSpeed,StartMinutes,EndMinutes,FinalPI,FinalPercentage,Light,NoLight,Transitions
Control,T_32_0,T_32,0,59.99737398666666,22351.69316159788,372.54452447477354,0.0,0.8986144324096216,0.08341538894359263,0.017970178646785764,6.2214020942311805,10.000639446666666,69.99801343333333,-0.05623471882640587,0.4683148122098748,13317,14904,219
R2R4,T_33_0,T_33,0,59.99737398666666,4517.2381795198,75.29059822724366,0.0,0.24588549725699818,0.5027430018286679,0.25137150091433397,1.2517226582491816,10.000639446666666,69.99801343333333,-0.0730624184964579,0.4624419749613166,13150,15223,23
Control4,T_34_0,T_34,0,59.99737398666666,10921.000085176616,182.0246347382406,0.0,0.6956674637783092,0.27085384723589817,0.033478688985792655,3.0273483540971102,10.000639446666666,69.99801343333333,-0.09661442671666608,0.4490082993388662,12768,15499,99
R2R4,T_35_0,T_35,0,59.99737398666666,8497.705339870454,141.63462123790478,0.0,0.36970741313827543,0.4717611478407652,0.15853143902095934,2.3589591107381356,10.000639446666666,69.99801343333333,-0.12362395807688249,0.4381417920945281,12459,15974,71
Control,T_4_0,T_4,0,59.99737398666666,12317.850909628565,205.30650078728425,0.0,0.6201645801097201,0.2747221831481221,0.10511323674215783,3.4199520045907854,10.000639446666666,69.99801343333333,0.2449769854606561,0.5992403994935996,17040,10334,108
R2R4,T_5_0,T_5,0,59.99737398666666,8182.108866956886,136.37444980133986,0.0,0.3879589253059502,0.3289843859895907,0.28305668870445916,2.2771286403421045,10.000639446666666,69.99801343333333,0.44588373835777756,0.7124419749613167,20259,7764,66
Control,T_6_0,T_6,0,59.99737398666666,13220.169180553956,220.3457968592409,0.0,0.7057954705303137,0.21631031087354058,0.07789421859614573,3.678786196786268,10.000639446666666,69.99801343333333,0.3009890307498651,0.6360599240399494,18087,9718,92
R2R4,T_7_0,T_7,0,59.99737398666666,11631.14684538222,193.8609321129127,0.0,0.5912575608383739,0.3045787030524687,0.10416373610915741,3.2218369655330057,10.000639446666666,69.99801343333333,0.22659729893454014,0.6052539035026023,17211,10852,98
Control,T_8_0,T_8,0,59.99737398666666,9303.2643707067,155.06119272443797,0.0,0.46504431002954,0.2631875087916725,0.2717681811787874,2.5877139724168776,10.000639446666666,69.99801343333333,-0.3214728709643123,0.3366507244338163,9573,18644,84
R2R4,T_9_0,T_9,0,59.99737398666666,8486.11719261667,141.44147699701918,0.0,0.46286397524265016,0.3352088901392601,0.20192713461808975,2.3645597722240077,10.000639446666666,69.99801343333333,-0.1208118212568987,0.43416795611197073,12346,15739,64
Control,T_0_0,T_0,0,10.029677133333323,185.07182750955505,18.45242125436666,0.0,0.0,0.5318880235739845,0.4681119764260156,0.3084356343692733,70.00009623333334,80.02977336666666,1.0,1.0,4751,0,0
R2R4,T_1_0,T_1,0,10.029677133333323,132.98914572499845,13.259563987659496,0.0,0.0,0.39107556303936014,0.6089244369606399,0.2229527856647869,70.00009623333334,80.02977336666666,-1.0,0.0,0,4751,0
Control4,T_10_0,T_10,0,10.029677133333323,289.5163618069864,28.865970255890662,0.0,0.038307724689539045,0.5520942959376973,0.40959797937276365,0.48234133973814475,70.00009623333334,80.02977336666666,-0.9560346649756922,0.02189012839402231,104,4627,3
R2R4,T_11_0,T_11,0,10.029677133333323,1350.92506456568,134.6927769066386,0.0,0.43675015786150284,0.32856240791412333,0.23468743422437383,2.2604545945358874,70.00009623333334,80.02977336666666,-0.12047679863771818,0.43485581982740473,2066,2632,8
Control4,T_12_0,T_12,0,10.029677133333323,721.6849459524074,71.95495292205466,0.0,0.16143969690591453,0.6400757735213639,0.19848452957272153,1.197797719708561,70.00009623333334,80.02977336666666,0.656997455470738,0.6853294043359293,3256,674,4
R2R4,T_13_0,T_13,0,10.029677133333323,2937.537797250783,292.88458224522174,0.0,0.7956219743211955,0.15175752473163545,0.05262050094716902,4.874546919958041,70.00009623333334,80.02977336666666,0.15634971282705806,0.5720900862976216,2718,1983,21
Control,T_14_0,T_14,0,10.029677133333323,401.82529007151595,40.06363163337153,0.0,0.09745316775415702,0.37507893075142074,0.5274679014944222,0.6648080747232465,70.00009623333334,80.02977336666666,0.1778339654445849,0.5882972005893496,2795,1951,2
R2R4,T_15_0,T_15,0,10.029677133333323,2408.494516514186,240.136794484603,0.0,0.6975373605556725,0.2652073247737318,0.03725531467059567,4.00339359656622,70.00009623333334,80.02977336666666,-0.005543710021321962,0.49084403283519257,2332,2358,20
Control4,T_16_0,T_16,0,10.029677133333323,1118.0261779244174,111.47180144101468,0.0,0.3367712060618817,0.5720900862976216,0.09113870764049674,1.8599215957864572,70.00009623333334,80.02977336666666,0.07437661220980224,0.5259945274679015,2499,2153,5
R2R4,T_17_0,T_17,0,10.029677133333323,1626.65762606484,162.184445664626,0.0,0.46579667438434014,0.3965480951378657,0.13765523047779415,2.7094171779192338,70.00009623333334,80.02977336666666,-0.17885421518397765,0.3710797726794359,1763,2531,14
Control,T_18_0,T_18,0,10.029677133333323,1902.450093315868,189.6820872720951,0.0,0.575036834350663,0.2544727425805094,0.1704904230688276,3.1790932134431342,70.00009623333334,80.02977336666666,0.0283178360101437,0.5121027152178489,2433,2299,18
R2R4,T_19_0,T_19,0,10.029677133333323,843.5232508784787,84.1027322878675,0.0,0.2357398442433172,0.40033677120606187,0.3639233845506209,1.378331381461307,70.00009623333334,80.02977336666666,-0.7799789251844046,0.10987160597768891,522,4223,6
Control,T_2_0,T_2,0,10.029677133333323,1639.2884980121607,163.44379547014887,0.0,0.5483056198695011,0.3115133656072406,0.14018101452325826,2.696979113437338,70.00009623333334,80.02977336666666,0.5739670306144294,0.7737318459271733,3676,995,12
Control4,T_20_0,T_20,0,10.029677133333323,319.3508197886847,31.840588240605683,0.0,0.05514628499263313,0.5083140391496527,0.43653967585771414,0.5341093020144599,70.00009623333334,80.02977336666666,0.9431920649233544,0.9071774363291939,4310,126,1
R2R4,T_21_0,T_21,0,10.029677133333323,132.8690237919124,13.247587337614918,0.0,0.0,0.41212376341822776,0.5878762365817722,0.22162380309467497,70.00009623333334,80.02977336666666,-1.0,0.0,0,4751,0
Control,T_22_0,T_22,0,10.029677133333323,1187.9787225130578,118.44635741711437,0.0,0.39465375710376766,0.3712902546832246,0.2340559882130078,1.975322013440826,70.00009623333334,80.02977336666666,-0.14985225833685098,0.4239107556303936,2014,2724,8
R2R4,T_23_0,T_23,0,10.029677133333323,184.11425004839623,18.35694684891682,0.0,0.0,0.48010945064197014,0.5198905493580299,0.30802722350115214,70.00009623333334,80.02977336666666,-1.0,0.0,0,4751,0
Control,T_24_0,T_24,0,10.029677133333323,1426.6753236152615,142.24538882450662,0.0,0.4872658387707851,0.42790991370237846,0.08482424752683645,2.3730377107062544,70.00009623333334,80.02977336666666,0.054491899852724596,0.4521153441380762,2148,1926,13
R2R4,T_25_0,T_25,0,10.029677133333323,1377.6887651133611,137.36122776421735,0.0,0.44032835192591036,0.37339507472111133,0.18627657335297831,2.3035427811962075,70.00009623333334,80.02977336666666,-0.05947089947089947,0.46769101241843825,2222,2503,11
Control4,T_26_0,T_26,0,10.029677133333323,1506.6077731475034,150.214982308886,0.0,0.49084403283519257,0.3041464954746369,0.2050094716901705,2.509598003871363,70.00009623333334,80.02977336666666,-0.2822137727080693,0.35760892443696063,1699,3035,14
R2R4,T_27_0,T_27,0,10.029677133333323,1042.6625483701175,103.9577380716335,0.0,0.26310250473584507,0.6276573352978321,0.10924015996632289,1.7363263125757273,70.00009623333334,80.02977336666666,-0.15776135163674762,0.4197011155546201,1994,2741,7
Control,T_28_0,T_28,0,10.029677133333323,1444.1025622716393,143.98295608860718,0.0,0.5219953693959166,0.36434434855819825,0.11366028204588507,2.3854892545063486,70.00009623333334,80.02977336666666,-0.12270984235193864,0.43338244580088403,2059,2635,12
R2R4,T_29_0,T_29,0,10.029677133333323,1824.6670993591622,181.92680333596556,0.0,0.5480951378657125,0.33803409808461377,0.11387076404967375,3.043668753846503,70.00009623333334,80.02977336666666,-0.3533136344449135,0.3224584298042517,1532,3206,16
R2R4,T_3_0,T_3,0,10.029677133333323,175.20920390978023,17.469077177716702,0.0,0.0,0.5188381393390865,0.4811618606609135,0.29243005731390553,70.00009623333334,80.02977336666666,1.0,1.0,4751,0,0
Control4,T_30_0,T_30,0,10.029677133333323,3402.5538219295504,339.24858963019534,0.0,0.8671858556093454,0.11450221006103978,0.018311934329614817,5.634701144686351,70.00009623333334,80.02977336666666,-0.17433516251582945,0.4117027994106504,1956,2782,29
R2R4,T_31_0,T_31,0,10.029677133333323,76.02121933088179,7.579627770691403,0.0,0.0,0.28457166912229004,0.71542833087771,0.12677843551517562,70.00009623333334,80.02977336666666,-1.0,0.0,0,4751,0
Control,T_32_0,T_32,0,10.029677133333323,3373.563590186791,336.35814446856483,0.0,0.842769943169859,0.12018522416333403,0.03704483266680699,5.620662286021276,70.00009623333334,80.02977336666666,-0.0029635901778154107,0.49568511892233214,2355,2369,34
R2R4,T_33_0,T_33,0,10.029677133333323,208.2107308551449,20.75946494460554,0.0,0.0,0.6558619238055147,0.3441380761944854,0.34770793348925283,70.00009623333334,80.02977336666666,1.0,1.0,4751,0,0
Control4,T_34_0,T_34,0,10.029677133333323,1514.7073905296513,151.02254742533717,0.0,0.552936223952852,0.39254893706588084,0.0545148389812671,2.52319394123949,70.00009623333334,80.02977336666666,0.0025391451544646637,0.4986318669753736,2369,2357,14
R2R4,T_35_0,T_35,0,10.029677133333323,1499.7854404138718,149.53476771743541,0.0,0.4335929278046727,0.48410860871395495,0.08229846348137235,2.5041803109473255,70.00009623333334,80.02977336666666,-0.06882761523889708,0.4655861923805515,2212,2539,12
Control,T_4_0,T_4,0,10.029677133333323,1631.7413287704821,162.6913117020926,0.0,0.5184171753315091,0.3348768680277836,0.1467059566407072,2.7122453396327244,70.00009623333334,80.02977336666666,0.4340112505408914,0.6975373605556725,3314,1308,15
R2R4,T_5_0,T_5,0,10.029677133333323,68.75060966544117,6.854718128158946,0.0,0.0,0.2365817722584719,0.7634182277415281,0.11483494652844506,70.00009623333334,80.02977336666666,1.0,1.0,4751,0,0
Control,T_6_0,T_6,0,10.029677133333323,1922.6722460634971,191.69831894922672,0.0,0.581561776468112,0.3043569774784256,0.11408124605346243,3.1961121455287893,70.00009623333334,80.02977336666666,0.3711734693877551,0.6788044622184803,3225,1479,16
R2R4,T_7_0,T_7,0,10.029677133333323,1628.3355780942607,162.35174437296067,0.0,0.5026310250473585,0.30056830141022944,0.19680067354241212,2.7202186424764956,70.00009623333334,80.02977336666666,-0.14164185452998723,0.4247526836455483,2018,2684,15
Control,T_8_0,T_8,0,10.029677133333323,1719.2045775557654,171.41175679943296,0.0,0.5577773100399915,0.3051989054935803,0.13702378446642813,2.8614409577193483,70.00009623333334,80.02977336666666,0.12569474134245404,0.5541991159755841,2633,2045,13
R2R4,T_9_0,T_9,0,10.029677133333323,1667.777134933926,166.28422956818022,0.0,0.5777731003999158,0.24836876447063777,0.17385813512944642,2.7855302831842343,70.00009623333334,80.02977336666666,-0.17516059957173447,0.4053883392969901,1926,2744,13
